
text
trip_id,arrival_time,departure_time,stop_id,stop_sequence

1001,06:00:00,06:00:00,2,1
1001,12:00:00,12:00:00,1,2

1002,14:00:00,14:00:00,2,1
1002,20:00:00,20:00:00,1,2

2001,07:00:00,07:00:00,1,1
2001,15:00:00,15:00:00,6,2

2002,21:00:00,21:00:00,1,1
2002,05:00:00,05:00:00,6,2

3001,08:00:00,08:00:00,2,1
3001,10:30:00,10:30:00,3,2

3002,16:00:00,16:00:00,2,1
3002,18:30:00,18:30:00,3,2

4001,09:00:00,09:00:00,4,1
4001,11:30:00,11:30:00,5,2

4002,18:00:00,18:00:00,4,1
4002,20:30:00,20:30:00,5,2
